suburb,property_count,average_price_per_sqft,latitude,longitude,school,park,mall,hospital,club
Andheri,608,27363.127208480564,19.1196976,72.8464205,35,0,0,68,0
Antop Hill,2,30229.0,19.0301805,72.8669504,45,3,0,33,0
Bandra,138,39582.48484848485,19.0549792,72.8402203,45,3,0,44,0
Bhandup,204,18142.188775510203,19.1438684,72.9384327,15,0,0,28,0
Bhayandar,96,12257.41111111111,19.2813147,72.8747815,9,0,0,28,0
Borivali,240,25447.615384615383,19.229068,72.8573628,14,0,0,87,0
Byculla,34,32559.757575757576,18.9766219,72.8327936,41,0,0,45,0
Charkop,29,17554.333333333332,19.2141193,72.8258652,21,0,0,29,0
Charni Road,1,30000.0,18.9518437,72.8182401,50,0,0,53,0
Chembur,264,25662.732793522267,19.054818,72.8979713,30,0,0,69,0
Chunabhatti,8,40292.28571428572,19.0520886,72.8674141,25,3,0,41,0
Dadar,52,42261.76470588235,19.0192269,72.8428479,71,0,0,61,1
Dahisar,108,18797.326315789473,19.162807,72.8348368,18,0,0,31,0
Ghatkopar,206,22640.72864321608,19.0856928,72.9083668,14,0,0,69,0
Goregaon,448,23973.613526570047,19.1648688,72.8495492,17,0,0,40,0
Govandi,13,18858.416666666668,19.0553688,72.9150702,39,0,0,54,0
Juhu,52,50668.53191489362,19.1070215,72.8275275,18,0,0,30,0
Kandivali,407,22596.38157894737,19.2041136,72.8517376,23,0,0,82,0
Kanjurmarg,37,21022.542857142857,19.124102,72.9385562,9,0,0,15,0
Khar,52,41006.395833333336,19.0682411,72.8400412,42,0,0,47,0
Kurla,88,18306.67816091954,19.0655397,72.8795636,15,0,0,61,0
Madh,15,13063.933333333332,19.1375285,72.7918857,0,0,0,1,0
Mahim,40,40082.22222222222,19.0423145,72.8398344,48,3,0,42,0
Malad,303,21958.527472527472,19.1867193,72.8485884,26,0,0,84,0
Matunga,52,47022.958333333336,19.0274356,72.8501467,72,0,0,63,1
Mazgaon,18,35172.6,18.9697337,72.8406201,24,0,0,38,0
Mira Road,333,11621.45871559633,19.1878962,72.8365955,24,0,0,80,0
Mulund,364,20811.655976676386,19.1721762,72.9562383,36,0,0,88,0
Powai,166,28613.323170731706,19.1187195,72.9073476,15,0,0,17,0
Prabhadevi,16,45999.6,19.0074717,72.8358965,58,0,0,48,1
Santacruz,140,31468.305970149253,19.0796105,72.8470573,26,0,0,50,0
Sion,33,28928.848484848484,19.0465213,72.8632834,30,3,0,45,0
Tardeo,8,63740.75,18.9722351,72.8203423,56,0,0,66,0
Tilak Nagar,16,22998.4,19.0692377,72.8978464,33,0,0,88,0
Trombay,1,18625.0,19.033651,72.9503637,13,0,0,1,0
Vasai,126,7190.838983050848,19.3509804,72.8934705,0,0,0,0,0
Vile Parle,118,31238.63725490196,19.0999098,72.8440038,33,0,0,51,0
Virar,183,6201.290697674419,19.5063691,72.8434536,0,0,0,0,0
Wadala,98,25542.043010752688,19.0269192,72.8759337,16,0,0,24,0
Walkeshwar,11,54230.545454545456,18.9524203,72.8038935,30,0,0,27,0
Worli,113,54944.13,19.0117388,72.8178706,32,0,0,17,0
